pillar,category,seed,title
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Common resume myths in open-source contributions
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,portfolio websites in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,Stop winging it: battle-tested patterns for case studies & writeups
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Top 7 mistakes in GitHub hygiene (and quick fixes)
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,From confused to confident: how to prep referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Whiteboard → offer: ship cover letters that work with guardrails
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,Interview-ready: 5 bullets that explain ATS-friendly resume
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,Explain like I’m 5: bullet points that quantify impact without jargon
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,What senior interviewers evaluate in projects selection & depth
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,Mock-interview debrief: the truth about system design projects
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Red flags & green flags I’ve seen in open-source contributions
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,"Psychology of portfolio websites: framing, tempo, control"
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,Timeboxing & structure: ace case studies & writeups under pressure
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Proof of impact: quantify your GitHub hygiene
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,Checklist before D-day: referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Honest prep: how to practice cover letters that work daily
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,Pattern library you’ll reuse for ATS-friendly resume all year
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,India-first prep tips: bullet points that quantify impact
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,Common myths about projects selection & depth — busted
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,Cold start → warm start: open your system design projects strong
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Close strong: how to end open-source contributions with conviction
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,STAR bullets in portfolio websites
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,Numbers that matter for case studies & writeups
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Proof of learning in GitHub hygiene
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,Elevator pitch built from referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Common resume myths in cover letters that work
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,ATS-friendly resume in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,Stop winging it: battle-tested patterns for bullet points that quantify impact
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,Top 7 mistakes in projects selection & depth (and quick fixes)
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,From confused to confident: how to prep system design projects
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Whiteboard → offer: ship open-source contributions with guardrails
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,Interview-ready: 5 bullets that explain portfolio websites
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,Explain like I’m 5: case studies & writeups without jargon
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,What senior interviewers evaluate in GitHub hygiene
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,Mock-interview debrief: the truth about referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Red flags & green flags I’ve seen in cover letters that work
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,"Psychology of ATS-friendly resume: framing, tempo, control"
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,Timeboxing & structure: ace bullet points that quantify impact under pressure
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,Proof of impact: quantify your projects selection & depth
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,Checklist before D-day: system design projects
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Honest prep: how to practice open-source contributions daily
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,Pattern library you’ll reuse for portfolio websites all year
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,India-first prep tips: case studies & writeups
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Common myths about GitHub hygiene — busted
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,Cold start → warm start: open your referrals & networking strong
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Close strong: how to end cover letters that work with conviction
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,STAR bullets in ATS-friendly resume
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,Numbers that matter for bullet points that quantify impact
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,Proof of learning in projects selection & depth
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,Elevator pitch built from system design projects
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Common resume myths in open-source contributions
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,portfolio websites in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,Stop winging it: battle-tested patterns for case studies & writeups
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Top 7 mistakes in GitHub hygiene (and quick fixes)
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,From confused to confident: how to prep referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Whiteboard → offer: ship cover letters that work with guardrails
Interview Preparation,"Interview — Resume, Projects & Portfolios",ATS-friendly resume,Interview-ready: 5 bullets that explain ATS-friendly resume
Interview Preparation,"Interview — Resume, Projects & Portfolios",bullet points that quantify impact,Explain like I’m 5: bullet points that quantify impact without jargon
Interview Preparation,"Interview — Resume, Projects & Portfolios",projects selection & depth,Campus vs off-campus: projects selection & depth differences in India
Interview Preparation,"Interview — Resume, Projects & Portfolios",system design projects,Product vs service company: system design projects focus areas
Interview Preparation,"Interview — Resume, Projects & Portfolios",open-source contributions,Aadhaar/e-KYC & fintech context in open-source contributions answers
Interview Preparation,"Interview — Resume, Projects & Portfolios",portfolio websites,UPI-scale analogies to explain portfolio websites
Interview Preparation,"Interview — Resume, Projects & Portfolios",case studies & writeups,IRCTC Tatkal analogy for case studies & writeups tradeoffs
Interview Preparation,"Interview — Resume, Projects & Portfolios",GitHub hygiene,Big Billion Days spikes: stress-talk your GitHub hygiene
Interview Preparation,"Interview — Resume, Projects & Portfolios",referrals & networking,Cricket/IPL analogies to simplify referrals & networking
Interview Preparation,"Interview — Resume, Projects & Portfolios",cover letters that work,Bengaluru startup vs MAANG: cover letters that work expectations
